note_number,measure_number,beat_pos,midi_pitch,duration,time_signature,onsets
1,97,1.0,48.0,2.0,2.0,192.0
2,99,1.0,48.0,2.0,2.0,196.0
3,100,1.0,50.0,1.0,2.0,198.0
4,100,2.0,52.0,1.0,2.0,199.0
5,101,1.0,53.0,1.5,2.0,200.0
6,101,2.5,52.0,0.5,2.0,201.5
7,102,1.0,48.0,1.0,2.0,202.0
8,102,2.0,50.0,1.0,2.0,203.0
9,103,1.0,48.0,1.0,2.0,204.0
10,103,2.0,45.0,1.0,2.0,205.0
11,104,1.0,46.0,2.0,2.0,206.0
12,105,1.0,45.0,2.0,2.0,208.0
13,106,1.0,50.0,1.0,2.0,210.0
14,106,2.0,48.0,1.0,2.0,211.0
15,107,2.0,46.0,1.0,2.0,213.0
16,108,1.0,45.0,2.0,2.0,214.0
17,109,1.0,43.0,2.0,2.0,216.0
18,110,1.0,50.0,1.5,2.0,218.0
19,110,2.5,52.0,0.5,2.0,219.5
20,111,1.0,53.0,1.0,2.0,220.0
21,111,2.0,50.0,1.0,2.0,221.0
22,112,1.0,52.0,1.0,2.0,222.0
23,112,2.0,53.0,1.0,2.0,223.0
24,113,1.0,55.0,1.0,2.0,224.0
25,113,2.0,52.0,1.0,2.0,225.0
26,114,1.0,50.0,2.0,2.0,226.0
27,115,1.0,48.0,2.0,2.0,228.0
28,117,1.0,43.0,1.0,2.0,232.0
29,117,2.0,48.0,1.0,2.0,233.0
30,118,1.0,46.0,1.0,2.0,234.0
31,118,2.0,48.0,1.0,2.0,235.0
32,119,1.0,50.0,2.0,2.0,236.0
33,120,1.0,48.0,2.0,2.0,238.0
34,121,1.0,50.0,1.0,2.0,240.0
35,121,2.0,46.0,1.0,2.0,241.0
36,122,1.0,45.0,2.0,2.0,242.0
37,123,1.0,43.0,2.0,2.0,244.0
38,124,1.0,50.0,2.0,2.0,246.0
39,125,1.0,43.0,2.0,2.0,248.0
40,132,1.0,50.0,1.0,2.0,262.0
41,132,2.0,53.0,1.0,2.0,263.0
42,133,1.0,52.0,2.0,2.0,264.0
43,134,1.0,50.0,1.5,2.0,266.0
44,134,2.5,52.0,0.5,2.0,267.5
45,135,1.0,53.0,1.0,2.0,268.0
46,135,2.0,55.0,1.0,2.0,269.0
47,136,1.0,52.0,1.5,2.0,270.0
48,136,2.5,48.0,0.5,2.0,271.5
49,137,1.0,48.0,2.0,2.0,272.0
50,138,1.0,50.0,1.0,2.0,274.0
51,138,2.0,45.0,1.0,2.0,275.0
52,139,1.0,48.0,1.0,2.0,276.0
53,139,2.0,46.0,1.0,2.0,277.0
54,140,1.0,45.0,2.0,2.0,278.0
55,141,1.0,43.0,2.0,2.0,280.0
56,143,1.0,50.0,2.0,2.0,284.0
57,144,2.0,50.0,1.0,2.0,287.0
58,145,1.0,52.0,1.0,2.0,288.0
59,145,2.0,48.0,1.0,2.0,289.0
60,146,1.0,55.0,1.0,2.0,290.0
61,146,2.0,52.0,1.0,2.0,291.0
62,147,1.0,48.0,2.0,2.0,292.0
63,148,1.0,43.0,2.0,2.0,294.0
64,149,1.0,48.0,2.0,2.0,296.0
