note_label,measure_number,beat_pos,midi_pitch,duration,time_signature,onset
1,21.0,3.0,55.0,1.0,12.0,248.0
2,22.0,1.0,48.0,2.0,12.0,252.0
3,22.0,3.0,53.0,1.0,12.0,260.0
4,23.0,1.0,52.0,1.0,12.0,264.0
5,23.0,2.0,48.0,2.0,12.0,268.0
6,24.0,1.0,48.0,1.5,12.0,276.0
7,24.0,2.5,46.0,0.5,12.0,282.0
8,24.0,3.0,45.0,1.0,12.0,284.0
9,25.0,1.0,43.0,2.0,12.0,288.0
10,25.0,3.0,43.0,1.0,12.0,296.0
11,26.0,1.0,55.0,2.0,12.0,300.0
12,26.0,3.0,55.0,1.0,12.0,308.0
13,27.0,1.0,53.0,0.5,12.0,312.0
14,27.0,1.5,55.0,1.0,12.0,314.0
15,27.0,2.5,53.0,0.5,12.0,318.0
16,27.0,3.0,52.0,1.0,12.0,320.0
17,28.0,1.0,50.0,3.0,12.0,324.0
18,29.0,2.0,43.0,2.0,12.0,340.0
19,30.0,1.0,50.0,1.5,12.0,348.0
20,30.0,2.5,52.0,0.5,12.0,354.0
21,30.0,3.0,53.0,1.0,12.0,356.0
22,31.0,1.0,55.0,2.0,12.0,360.0
23,31.0,3.0,55.0,1.0,12.0,368.0
24,32.0,1.0,50.0,3.0,12.0,372.0
25,33.0,1.0,51.0,1.0,12.0,384.0
26,33.0,2.0,50.0,1.0,12.0,388.0
27,33.0,3.0,43.0,1.0,12.0,392.0
28,34.0,2.0,50.0,2.0,12.0,400.0
29,35.0,1.0,43.0,2.0,12.0,408.0
30,36.0,1.0,43.0,1.5,12.0,420.0
31,36.0,2.5,45.0,0.5,12.0,426.0
32,36.0,3.0,46.0,1.0,12.0,428.0
33,37.0,1.0,48.0,1.0,12.0,432.0
34,37.0,2.0,50.0,2.0,12.0,436.0
35,38.0,1.0,48.0,1.0,12.0,444.0
36,38.0,2.0,52.0,1.0,12.0,448.0
37,38.0,3.0,53.0,0.5,12.0,452.0
38,38.0,3.5,55.0,0.5,12.0,454.0
39,39.0,1.5,52.0,0.5,12.0,458.0
40,39.0,2.0,53.0,0.5,12.0,460.0
41,39.0,2.5,55.0,0.5,12.0,462.0
42,39.0,3.0,57.0,1.0,12.0,464.0
43,40.0,1.0,55.0,0.5,12.0,468.0
44,40.0,1.5,55.0,0.75,12.0,470.0
45,40.0,2.25,53.0,0.25,12.0,473.0
46,40.0,2.5,52.0,0.5,12.0,474.0
47,40.0,3.0,50.0,1.0,12.0,476.0
48,41.0,1.0,48.0,1.0,12.0,480.0
49,41.0,2.0,46.0,0.5,12.0,484.0
50,41.0,2.5,48.0,0.5,12.0,486.0
51,41.0,3.0,50.0,1.0,12.0,488.0
52,42.0,1.0,52.0,0.5,12.0,492.0
53,42.0,1.5,48.0,1.0,12.0,494.0
54,42.0,2.5,46.0,0.5,12.0,498.0
55,42.0,3.0,48.0,1.0,12.0,500.0
56,43.0,1.0,43.0,0.5,12.0,504.0
57,43.0,1.5,45.0,0.5,12.0,506.0
58,43.0,2.0,43.0,0.5,12.0,508.0
59,43.0,2.5,48.0,1.0,12.0,510.0
60,43.0,3.5,51.0,0.5,12.0,514.0
61,44.0,1.0,50.0,0.5,12.0,516.0
62,44.0,1.5,48.0,1.0,12.0,518.0
63,44.0,2.5,46.0,0.5,12.0,522.0
64,44.0,3.0,45.0,1.0,12.0,524.0
65,45.0,1.0,43.0,3.0,12.0,528.0
66,53.0,1.0,43.0,1.0,12.0,624.0
67,53.0,2.0,48.0,2.0,12.0,628.0
68,54.0,1.0,48.0,1.0,12.0,636.0
69,54.0,2.0,50.0,0.5,12.0,640.0
70,54.0,2.5,46.0,0.5,12.0,642.0
71,54.0,3.0,45.0,1.0,12.0,644.0
72,55.0,1.5,53.0,1.0,12.0,650.0
73,55.0,2.5,55.0,0.5,12.0,654.0
74,55.0,3.0,57.0,1.0,12.0,656.0
75,56.0,1.0,55.0,1.0,12.0,660.0
76,56.0,2.0,50.0,2.0,12.0,664.0
77,57.0,1.0,43.0,1.0,12.0,672.0
78,57.0,2.0,41.0,0.5,12.0,676.0
79,57.0,2.5,43.0,0.5,12.0,678.0
80,57.0,3.0,45.0,0.5,12.0,680.0
81,57.0,3.5,41.0,0.5,12.0,682.0
82,58.0,1.0,43.0,1.0,12.0,684.0
83,58.0,2.0,50.0,2.0,12.0,688.0
84,59.0,1.0,52.0,1.0,12.0,696.0
85,59.0,2.0,48.0,1.0,12.0,700.0
86,59.0,3.0,55.0,0.5,12.0,704.0
87,59.0,3.5,52.0,0.5,12.0,706.0
88,60.0,1.5,48.0,0.5,12.0,710.0
89,60.0,2.0,46.0,0.5,12.0,712.0
90,60.0,2.5,48.0,0.5,12.0,714.0
91,60.0,3.0,43.0,1.0,12.0,716.0
92,61.0,1.0,48.0,3.0,12.0,720.0
