note_number,measure_number,beat_pos,midi_pitch,duration,time_signature,onsets
140,69,2.25,72.0,0.25,2.0,137.25
141,69,2.5,70.0,0.5,2.0,137.5
142,70,1.0,69.0,0.5,2.0,138.0
143,70,1.5,70.0,0.75,2.0,138.5
144,70,2.25,69.0,0.25,2.0,139.25
145,70,2.5,67.0,0.5,2.0,139.5
146,71,1.0,65.0,0.5,2.0,140.0
147,71,1.5,74.0,0.75,2.0,140.5
148,71,2.25,72.0,0.25,2.0,141.25
149,71,2.5,70.0,0.5,2.0,141.5
150,72,1.0,69.0,0.25,2.0,142.0
151,72,1.25,62.0,0.25,2.0,142.25
152,72,1.5,67.0,1.0,2.0,142.5
153,72,2.5,66.0,0.5,2.0,143.5
154,73,1.0,67.0,2.0,2.0,144.0
